year,precip,precip_mm,year2
0,2.799965273,2799.965273,0
1,2.709597744,2709.597744,1
2,2.437949737,2437.949737,2
3,2.507742144,2507.742144,3
4,2.592317197,2592.317197,4
5,2.668197727,2668.197727,5
6,2.703609069,2703.609069,6
7,2.77016142,2770.16142,7
8,2.453986251,2453.986251,8
9,2.522252265,2522.252265,9
10,2.844034132,2844.034132,10
11,2.600011943,2600.011943,11
12,2.70744105,2707.44105,12
13,2.379821112,2379.821112,13
14,2.43316661,2433.16661,14
15,2.695308763,2695.308763,15
16,2.886914884,2886.914884,16
17,2.788437906,2788.437906,17
18,2.357277219,2357.277219,18
